hotel_name,zip,lat_long
"The High Line Hotel, New York",10011,"['40.746122', '-74.005301']"
"Bentley Hotel, New York",10065,"['40.76055', '-73.95833']"
"MichaelNY, New York",10032,"['40.83481', '-73.93961']"
"338 e 61st #10 9085 231 2 Bedrooms 1 Bathroom Apts, New York",10027,"['40.808782', '-73.944263']"
"104 West 83rd Street #2D 168 Neal 1 Bedroom 1 Bathroom Apts, New York",10024,"['40.784577', '-73.974227']"
"NY090 0 Bedroom Studio By Senstay, New York",10009,"['40.726254', '-73.986259']"
"The Paul Hotel NYC-Chelsea, an Ascend Hotel Collection Member, New York",10001,"['40.746222', '-73.98907']"
"Courtyard New York Manhattan/Times Square West, New York",10018,"['40.754352', '-73.992682']"
"Hudson New York, Central Park, New York",10019,"['40.768355', '-73.984757']"
"The London NYC, New York",10019,"['40.763281', '-73.980648']"
"440 w 45th #3e. 170 2 Bedrooms 1 Bathroom Apts, New York",10036,"['40.760975', '-73.993211']"
"AKA Times Square, New York",10036,"['40.756635', '-73.984299']"
"The Manhattan Club, New York",10019,"['40.765023', '-73.980966']"
"Hotel Elysee by Library Hotel Collection, New York",10022,"['40.760061', '-73.973013']"
"Andaz Wall Street - a concept by Hyatt, New York",10004,"['40.705025', '-74.007621']"
"Hyatt House New York/Chelsea, New York",10001,"['40.746185', '-73.990413']"
"Hyatt Centric Times Square New York, New York",10036,"['40.75739', '-73.984171']"
"Hampton Inn Manhattan/Times Square Central, New York",10018,"['40.755823', '-73.988581']"
"NY079 1 Bedroom Apartment By Senstay, New York",10001,"['40.74949', '-73.99577']"
"Room Mate Grace Boutique Hotel, New York",10036,"['40.757292', '-73.983926']"
"Four Seasons Hotel New York, New York",10022,"['40.761969', '-73.971584']"
"The Nolitan, New York",10012,"['40.720719', '-73.995258']"
"Midtown East 2BR/2Bath Apartment DR#28, New York",10022,"['40.757161', '-73.968131']"
"The Sohotel, New York",10013,"['40.71956', '-73.99449']"
"Casablanca Hotel by Library Hotel Collection, New York",10036,"['40.756303', '-73.985526']"
"The Evelyn Hotel, New York",10016,"['40.743809', '-73.987129']"
"Mayfair New York, New York",10019,"['40.761351', '-73.985825']"
"Hotel Henri, New York",10010,"['40.743285', '-73.991019']"
"The Midtown, New York",10022,"['40.76056', '-73.96579']"
"Excelsior Hotel, New York",10024,"['40.782949', '-73.973846']"
"335 East #232477 - 2 Br Apts, New York",10128,"['40.782401', '-73.946258']"
"Washington Jefferson Hotel, New York",10019,"['40.763445', '-73.986874']"
"The Baxter House (Sleeps 6), New York",10013,"['40.717727', '-73.99665']"
"Superior Midtown 2BR Apartments, New York",10022,"['40.754364', '-73.967279']"
"Econo Lodge Times Square, New York",10036,"['40.760582', '-73.987887']"
"NH Collection New York Madison Avenue, New York",10016,"['40.750135', '-73.980818']"
"335 East Apartment #232444 2 Bedrooms 1 Bathroom Apts, New York",10128,"['40.782401', '-73.946258']"
"The Roosevelt Hotel, New York City, New York",10017,"['40.754581', '-73.977493']"
"Harlem YMCA, New York",10030,"['40.814964', '-73.942843']"
"The Melva Inn - Harlem, New York",10026,"['40.804163', '-73.946848']"
"Hotel Pennsylvania, New York",10001,"['40.749955', '-73.99137']"
"181 Canal Street #2 5 Bedrooms 2 Bathrooms Apts, New York",10013,"['40.716846', '-73.997126']"
"AKA Wall Street, New York",10038,"['40.708011', '-74.00778']"
"Park Central Hotel New York, New York",10019,"['40.76452', '-73.98078']"
"Studios in NYC , New York",10030,"['40.8153', '-73.942055']"
"West Village 2 BR and Private Roof Deck, New York",10014,"['40.73559', '-74.00516']"
"The Hotel 91, New York",10002,"['40.713724', '-73.993646']"
"The NoMad Hotel, New York",10001,"['40.745066', '-73.988818']"
"3- 2 BEDROOM APT ON 28 STREET BEST LOCATION, New York",10016,"['40.742471', '-73.982607']"
"Fairfield Inn & Suites New York Manhattan / Central Park, New York",10019,"['40.770475', '-73.989683']"
"Wyndham Midtown 45 at New York City, New York",10017,"['40.752518', '-73.972577']"
"NY081 3 Bedroom Apartment By Senstay, New York",10014,"['40.73841', '-74.00358']"
"The Ludlow Hotel, New York",10002,"['40.72185', '-73.987473']"
"Hotel 309, New York",10001,"['40.73984', '-74.00276']"
"Lotte New York Palace, New York",10022,"['40.758229', '-73.974529']"
"Superior New York Apartments, New York",10036,"['40.762194', '-73.993611']"
"4- THE BEST LOCATION in NYC 28ST 2 BEDROOM, New York",10016,"['40.742543', '-73.982563']"
"Down Town Association, New York",10005,"['40.70674', '-74.008208']"
"Wolcott Hotel, New York",10001,"['40.746775', '-73.986587']"
